R - s
L - n
U - i
D - e
F - space
R' - r
L' - o
U' - t
B' - a
B F R U' F R - ꯛ
B F R U' F L - く
B F R U' F U - お
B F R U' F B - も
B F R U' F F - ാ
B F R D' U R - ז
B F R D' U L - 𝓼
B F R D' U U - 𝓻
B F R D' U B - 𝓸
B F R D' U D - 𝓫
B F R D' U F - 𝓐
B F R D' F R - 白
B F R D' F L - ゃ
B F R D' F U - ˀ
B F R D' F B - み
B F R D' F D - ং
B F R D' F F - տ
B F U R L R' - Ι
B F U R L L' - ʹ
B F U R L U' - ナ
B F U R L B' - 李
B F U R L D' - 원
B F U R L F' - ꯑ
B F U R B' R - 𐔇
B F U R B' L - 駅
B F U R B' U - ക
B F U R B' B - ớ
B F U R B' D - 酸
B F U R B' F - ھ
B F U L R R' - ズ
B F U L R L' - ▪
B F U L R U' - ĭ
B F U L R B' - 論
B F U L R D' - 甜
B F U L R' B - ख
B F U L L F' - 🏳
B F U L U L' - ꯍ
B F U L U U' - 河
B F U L U B' - ữ
B F U L U D' - ბ
B F U L U F' - 林
B F U L B R' - 集
B F U L B L' - 🤘
B F U L B U' - ט
B F U L B B' - 株
B F U L B D' - ์
B F U L B F' - ნ
B F U L B' R - ǃ
B F U L B' L - プ
B F U L B' U - ვ
B F U L B' B - メ
B F U L B' D - ɦ
B F U L B' F - 김
B F U B R R' - 🎃
B F U B R L' - ᜔
B F U B R B' - ứ
B F U B R D' - Ć
B F U B R F' - え
B F U B L R' - ஜ
B F U B L L' - ද
B F U B L U' - 수
B F U B L B' - ේ
B F U B L D' - 고
B F U B L F' - ム
B F U B U R' - デ
B F U B U L' - Ε
B F U B U U' - 愛
B F U B U B' - を
B F U B U D' - Ю
B F U B U F' - Ц
B F U B U' R - チ
B F U B U' L - 心
B F U B U' U - 문
B F U B B L' - 之
B F U B B U' - ध
B F U B B B' - ̺
B F U B B' R - 아
B F U B B' L - ら
B F U B D' R - 西
B F U B D' L - ћ
B F U B D' U - დ
B F U B D' B - ข
B F U B D' D - 永
B F U B D' F - は
B F U B' R R - ₪
B F U B' R L - ජ
B F U B' R U - 🪐
B F U B' R B - ŵ
B F U B' R D - 💠
B F U B' R F - 長
B F U B' L R - ּ
B F U B' L L - ח
B F U B' L U - 대
B F U B' L B - ‐
B F U B' L D - ण
B F U B' L F - 我
B F U B' B R - 高
B F U B' B L - າ
B F U B' B U - キ
B F U B' B B - ⟨
B F U B' B D - Μ
B F U B' B F - ү
B F U B' F R - 리
B F U B' F L - 지
B F U B' F U - 《
B F U B' F B - अ
B F U B' F D - 海
B F U B' F F - ¿
B F U F' L R - қ
B F U F' L L - ÿ
B F U F' L B - オ
B F U F' L D - ̇
B F U F' L F - 上
B F D' L' R' - Č
B F D' L' U' - ̪
B F D' L' B' - α
B F D' L' D' - Š
B F D' L' F' - ئ
B F D' U' R' - ï
B F D' U' L' - غ
B F D' U' U' - ь
B F D' U' D' - г
B F D' B L R - ہ
B F D' B L L - რ
B F D' B L U - 𝓪
B F D' B L B - 𝓲
B F D' B L D - ♂
B F D' B L F - 𝓵
B F D' B B R - Δ
B F D' B B L - ĕ
B F D' B B U - ट
B F D' B B B - 新
F' R L' R' R - ء
F' R L' R' L - ɔ
F' R L' R' U - Á
F' R L' U' R - £
F' R L' U' L - ɪ
F' R L' U' U - ♮
F' R L' F' U - ✉
F' R L' F' B - ą
F' R L' F' D - Ö
F' R L' F' F - ص
F' R D' L R' - ٌ
F' R D' L U' - ٍ
F' R D' L B' - ø
F' R D' L F' - ى
F' R D' U B' - ة
F' R D' F R' - ß
F' R D' F L' - ë
F' R D' F B' - à
F' R D' F D' - ū
F' R D' F F' - к
F' B' D' U R - с
F' B' D' U B - ã
F' B' D' U D - ح
F' B' D' U F - ^
F' B' D' F R - ć
F' B' D' F U - ô
F' B' D' F B - ç
F' B' D' F D - @
F' B' D' F F - س
B F R U R' R' - 不
B F R U R' L' - ְ
B F R U R' U' - Ə
B F R U R' B' - ў
B F R U R' D' - 藤
B F R U R' F' - 原
B F R U L' R' - आ
B F R U L' L' - ി
B F R U L' U' - ṃ
B F R U L' B' - կ
B F R U L' D' - 島
B F R U L' F' - 前
B F R U D B R - 빠
B F R U D B L - 剡
B F R U D B U - 淳
B F R U D B B - ુ
B F R U D B D - 哈
B F R U D B F - 连
B F R U D D R - ਧ
B F R U D D L - 医
B F R U D D U - ⇔
B F R U D D B - ∓
B F R U D D D - 戴
B F R U D D F - ⲅ
B F R U D F R - 錦
B F R U D F L - ܗ
B F R U D F U - 輯
B F R U D F B - ढ
B F R U D F D - 盧
B F R U D F F - 曆
B F R U' L' D - ❯
B F R U' U B' - ٰ
B F R U' U D' - כ
B F R U' B U' - є
B F R U' B B' - 士
B F R U' B D' - ғ
B F R U' B F' - ハ
B F R U' F R' - バ
B F R U' F L' - 장
B F R U' F U' - ™
B F R U' F B' - 地
B F R U' F D' - 真
B F R U' F F' - ົ
B F R D' R' R - ை
B F R D' R' L - ်
B F R D' R' U - ✍
B F R D' R' B - ẩ
B F R D' R' D - 武
B F R D' R' F - 最
B F R D' U R' - 시
B F R D' U L' - ♀
B F R D' U U' - ำ
B F R D' U B' - ɟ
B F R D' U D' - 𝓴
B F R D' U F' - 🄰
B F R D' U' R - Ô
B F R D' U' L - 🄸
B F R D' U' U - 雄
B F R D' U' B - ƒ
B F R D' U' D - ָ
B F R D' U' F - 로
B F R D' F R' - 光
B F R D' F L' - თ
B F R D' F U' - ธ
B F R D' F B' - ψ
B F R D' F D' - ெ
B F R D' F F' - 경
B F U R B' R' - 우
B F U R B' L' - 🌈
B F U R B' U' - ậ
B F U R B' B' - Γ
B F U R B' D' - 신
B F U R B' F' - ʱ
B F U L R' L' - ♦
B F U L L R R - ։
B F U L L R L - 淵
B F U L L R U - 鎬
B F U L L R B - 尤
B F U L L R D - 震
B F U L L R F - ථ
B F U L L L R - ḓ
B F U L L L L - 답
B F U L L L U - 锡
B F U L L L B - 欧
